snapshot_utc,feature_id,name,retained_confounder,fold_001,fold_002,fold_003,fold_004,fold_005,top_8_folds,top_16_folds,top_32_folds,top_64_folds
2026-09-22T16:11:23.286833+00:00,outer_001_feature_166,imaging_finding_upper_lobe_mass,True,outside_top_64,22,42,outside_top_64,43,0,0,1,3
2026-09-22T16:11:23.286833+00:00,outer_001_feature_185,lipid_lowering_therapy_use,True,outside_top_64,outside_top_64,31,outside_top_64,outside_top_64,0,0,1,1
2026-09-22T16:11:23.286833+00:00,outer_001_feature_215,metabolic_response,False,outside_top_64,outside_top_64,outside_top_64,29,outside_top_64,0,0,1,1
2026-09-22T16:11:23.286833+00:00,outer_001_feature_232,occupation,True,outside_top_64,outside_top_64,outside_top_64,28,outside_top_64,0,0,1,1
2026-09-22T16:11:23.286833+00:00,outer_001_feature_243,p40_expression,False,outside_top_64,30,outside_top_64,outside_top_64,outside_top_64,0,0,1,1
2026-09-22T16:11:23.286833+00:00,outer_001_feature_246,palliative_care_status,True,31,outside_top_64,outside_top_64,outside_top_64,outside_top_64,0,0,1,1
2026-09-22T16:11:23.286833+00:00,outer_001_feature_250,peripheral_neuropathy_grade,True,outside_top_64,27,outside_top_64,outside_top_64,outside_top_64,0,0,1,1
2026-09-22T16:11:23.286833+00:00,outer_001_feature_254,pi3k_pathway_activation,True,outside_top_64,outside_top_64,outside_top_64,outside_top_64,18,0,0,1,1
2026-09-22T16:11:23.286833+00:00,outer_001_feature_259,pleural_effusion,True,32,outside_top_64,outside_top_64,outside_top_64,outside_top_64,0,0,1,1
2026-09-22T16:11:23.286833+00:00,outer_001_feature_260,pneumonia_diagnosis,True,17,outside_top_64,outside_top_64,outside_top_64,outside_top_64,0,0,1,1
2026-09-22T16:11:23.286833+00:00,outer_001_feature_275,pulmonary_lesion_presence,False,23,outside_top_64,outside_top_64,outside_top_64,outside_top_64,0,0,1,1
2026-09-22T16:11:23.286833+00:00,outer_001_feature_279,qlq_c30_role_function,True,outside_top_64,outside_top_64,19,outside_top_64,37,0,0,1,2
2026-09-22T16:11:23.286833+00:00,outer_001_feature_281,radiation_therapy_session_count,False,outside_top_64,19,39,outside_top_64,outside_top_64,0,0,1,2
2026-09-22T16:11:23.286833+00:00,outer_001_feature_299,serum_creatinine,False,outside_top_64,outside_top_64,outside_top_64,outside_top_64,24,0,0,1,1
2026-09-22T16:11:23.286833+00:00,outer_001_feature_313,systolic_blood_pressure,True,outside_top_64,outside_top_64,21,outside_top_64,outside_top_64,0,0,1,1
2026-09-22T16:11:23.286833+00:00,outer_001_feature_324,tp53_r273h_mutation_status,True,21,outside_top_64,50,62,63,0,0,1,4
2026-09-22T16:11:23.286833+00:00,outer_001_feature_336,unintended_weight_change,True,25,outside_top_64,outside_top_64,outside_top_64,59,0,0,1,2
2026-09-22T16:11:23.286833+00:00,outer_001_feature_342,vertebral_metastasis_presence,False,35,43,18,outside_top_64,61,0,0,1,4
2026-09-22T16:11:23.286833+00:00,outer_001_feature_352,zoledronic_acid_dose_frequency,False,outside_top_64,outside_top_64,outside_top_64,19,outside_top_64,0,0,1,1
2026-09-22T16:11:23.286833+00:00,outer_001_feature_002,absolute_neutrophil_count,True,outside_top_64,outside_top_64,outside_top_64,outside_top_64,outside_top_64,0,0,0,0
2026-09-22T16:11:23.286833+00:00,outer_001_feature_003,acetaminophen_administered,True,outside_top_64,outside_top_64,outside_top_64,outside_top_64,outside_top_64,0,0,0,0
2026-09-22T16:11:23.286833+00:00,outer_001_feature_005,acute_kidney_injury_history,False,outside_top_64,outside_top_64,outside_top_64,outside_top_64,outside_top_64,0,0,0,0
2026-09-22T16:11:23.286833+00:00,outer_001_feature_007,adrenal_metastasis_presence,True,37,outside_top_64,outside_top_64,outside_top_64,52,0,0,0,2
2026-09-22T16:11:23.286833+00:00,outer_001_feature_009,age,True,outside_top_64,outside_top_64,40,outside_top_64,outside_top_64,0,0,0,1
2026-09-22T16:11:23.286833+00:00,outer_001_feature_010,airway_involvement,True,outside_top_64,outside_top_64,outside_top_64,outside_top_64,45,0,0,0,1
2026-09-22T16:11:23.286833+00:00,outer_001_feature_011,albuterol_use,True,outside_top_64,outside_top_64,outside_top_64,outside_top_64,outside_top_64,0,0,0,0
2026-09-22T16:11:23.286833+00:00,outer_001_feature_012,alcohol_use,True,outside_top_64,outside_top_64,outside_top_64,outside_top_64,outside_top_64,0,0,0,0
2026-09-22T16:11:23.286833+00:00,outer_001_feature_013,alk_mutation_status,False,outside_top_64,outside_top_64,outside_top_64,outside_top_64,outside_top_64,0,0,0,0
2026-09-22T16:11:23.286833+00:00,outer_001_feature_014,alk_rearrangement_status,False,outside_top_64,outside_top_64,outside_top_64,outside_top_64,outside_top_64,0,0,0,0
2026-09-22T16:11:23.286833+00:00,outer_001_feature_015,alkaline_phosphatase_level,True,outside_top_64,outside_top_64,outside_top_64,36,outside_top_64,0,0,0,1
2026-09-22T16:11:23.286833+00:00,outer_001_feature_016,alt_level,False,outside_top_64,outside_top_64,outside_top_64,outside_top_64,outside_top_64,0,0,0,0
2026-09-22T16:11:23.286833+00:00,outer_001_feature_017,ambulation_status,True,outside_top_64,outside_top_64,outside_top_64,outside_top_64,outside_top_64,0,0,0,0
2026-09-22T16:11:23.286833+00:00,outer_001_feature_018,anemia_type,False,54,outside_top_64,outside_top_64,outside_top_64,outside_top_64,0,0,0,1
2026-09-22T16:11:23.286833+00:00,outer_001_feature_019,anticoagulant_use,True,outside_top_64,outside_top_64,outside_top_64,outside_top_64,outside_top_64,0,0,0,0
2026-09-22T16:11:23.286833+00:00,outer_001_feature_020,antidiabetic_use,False,outside_top_64,outside_top_64,outside_top_64,outside_top_64,outside_top_64,0,0,0,0
2026-09-22T16:11:23.286833+00:00,outer_001_feature_021,antihypertensive_use,True,38,outside_top_64,outside_top_64,outside_top_64,outside_top_64,0,0,0,1
2026-09-22T16:11:23.286833+00:00,outer_001_feature_023,appendectomy_history,False,outside_top_64,outside_top_64,outside_top_64,outside_top_64,outside_top_64,0,0,0,0
2026-09-22T16:11:23.286833+00:00,outer_001_feature_025,asbestos_exposure_history,False,outside_top_64,outside_top_64,outside_top_64,outside_top_64,outside_top_64,0,0,0,0
2026-09-22T16:11:23.286833+00:00,outer_001_feature_027,atorvastatin_dose,True,outside_top_64,outside_top_64,outside_top_64,44,outside_top_64,0,0,0,1
2026-09-22T16:11:23.286833+00:00,outer_001_feature_028,atrial_fibrillation_presence,False,outside_top_64,outside_top_64,outside_top_64,outside_top_64,outside_top_64,0,0,0,0
2026-09-22T16:11:23.286833+00:00,outer_001_feature_029,audiogram_status,False,outside_top_64,outside_top_64,outside_top_64,outside_top_64,outside_top_64,0,0,0,0
2026-09-22T16:11:23.286833+00:00,outer_001_feature_031,azithromycin_use,False,outside_top_64,outside_top_64,outside_top_64,outside_top_64,outside_top_64,0,0,0,0
2026-09-22T16:11:23.286833+00:00,outer_001_feature_032,biomarker_egfr_status,True,outside_top_64,outside_top_64,outside_top_64,outside_top_64,outside_top_64,0,0,0,0
2026-09-22T16:11:23.286833+00:00,outer_001_feature_035,bisphosphonate_therapy_status,True,outside_top_64,outside_top_64,outside_top_64,outside_top_64,outside_top_64,0,0,0,0
2026-09-22T16:11:23.286833+00:00,outer_001_feature_038,bmi,True,outside_top_64,outside_top_64,outside_top_64,outside_top_64,outside_top_64,0,0,0,0
2026-09-22T16:11:23.286833+00:00,outer_001_feature_039,body_temperature,False,outside_top_64,outside_top_64,outside_top_64,outside_top_64,outside_top_64,0,0,0,0
2026-09-22T16:11:23.286833+00:00,outer_001_feature_040,body_weight,True,outside_top_64,outside_top_64,outside_top_64,outside_top_64,outside_top_64,0,0,0,0
2026-09-22T16:11:23.286833+00:00,outer_001_feature_041,bolus_dose_confirmed,False,outside_top_64,outside_top_64,outside_top_64,outside_top_64,outside_top_64,0,0,0,0
2026-09-22T16:11:23.286833+00:00,outer_001_feature_042,bone_lesion_characteristics,True,outside_top_64,outside_top_64,60,outside_top_64,outside_top_64,0,0,0,1
2026-09-22T16:11:23.286833+00:00,outer_001_feature_043,bone_metastasis_presence,True,outside_top_64,outside_top_64,outside_top_64,outside_top_64,outside_top_64,0,0,0,0
2026-09-22T16:11:23.286833+00:00,outer_001_feature_044,bone_pain_location,True,outside_top_64,outside_top_64,36,outside_top_64,outside_top_64,0,0,0,1
2026-09-22T16:11:23.286833+00:00,outer_001_feature_046,booster_vaccination_indication,False,outside_top_64,outside_top_64,outside_top_64,outside_top_64,outside_top_64,0,0,0,0
2026-09-22T16:11:23.286833+00:00,outer_001_feature_047,braf_mutation_status,True,outside_top_64,outside_top_64,outside_top_64,outside_top_64,outside_top_64,0,0,0,0
2026-09-22T16:11:23.286833+00:00,outer_001_feature_050,brain_lesion_size,True,outside_top_64,outside_top_64,outside_top_64,outside_top_64,outside_top_64,0,0,0,0
2026-09-22T16:11:23.286833+00:00,outer_001_feature_051,brain_metastases_location,True,outside_top_64,outside_top_64,outside_top_64,outside_top_64,outside_top_64,0,0,0,0
2026-09-22T16:11:23.286833+00:00,outer_001_feature_052,brain_metastases_presence,False,outside_top_64,outside_top_64,49,46,outside_top_64,0,0,0,2
2026-09-22T16:11:23.286833+00:00,outer_001_feature_054,brainstem_signal,False,outside_top_64,42,outside_top_64,55,49,0,0,0,3
2026-09-22T16:11:23.286833+00:00,outer_001_feature_056,calorie_intake,False,outside_top_64,outside_top_64,outside_top_64,outside_top_64,outside_top_64,0,0,0,0
2026-09-22T16:11:23.286833+00:00,outer_001_feature_058,cancer_diagnosis,False,outside_top_64,outside_top_64,outside_top_64,outside_top_64,outside_top_64,0,0,0,0
2026-09-22T16:11:23.286833+00:00,outer_001_feature_059,cancer_location,False,outside_top_64,outside_top_64,outside_top_64,outside_top_64,outside_top_64,0,0,0,0
2026-09-22T16:11:23.286833+00:00,outer_001_feature_061,carboplatin_administered,False,outside_top_64,outside_top_64,outside_top_64,outside_top_64,outside_top_64,0,0,0,0
2026-09-22T16:11:23.286833+00:00,outer_001_feature_062,cataracts,False,outside_top_64,outside_top_64,outside_top_64,outside_top_64,outside_top_64,0,0,0,0
2026-09-22T16:11:23.286833+00:00,outer_001_feature_063,cavernous_sinus_enhancement,True,outside_top_64,outside_top_64,outside_top_64,outside_top_64,outside_top_64,0,0,0,0
2026-09-22T16:11:23.286833+00:00,outer_001_feature_066,cefepime_use,False,outside_top_64,outside_top_64,outside_top_64,outside_top_64,outside_top_64,0,0,0,0
2026-09-22T16:11:23.286833+00:00,outer_001_feature_067,cerebellar_hemisphere_signal,True,outside_top_64,outside_top_64,outside_top_64,outside_top_64,outside_top_64,0,0,0,0
2026-09-22T16:11:23.286833+00:00,outer_001_feature_068,cerebellar_hemisphere_size,False,outside_top_64,outside_top_64,outside_top_64,outside_top_64,outside_top_64,0,0,0,0
2026-09-22T16:11:23.286833+00:00,outer_001_feature_069,cerebellar_white_matter_lesion_presence,False,outside_top_64,outside_top_64,outside_top_64,outside_top_64,outside_top_64,0,0,0,0
2026-09-22T16:11:23.286833+00:00,outer_001_feature_070,cerebral_gray_matter_signal_intensity,False,outside_top_64,outside_top_64,outside_top_64,outside_top_64,outside_top_64,0,0,0,0
2026-09-22T16:11:23.286833+00:00,outer_001_feature_071,cerebral_white_matter_signal_intensity,False,outside_top_64,outside_top_64,57,outside_top_64,outside_top_64,0,0,0,1
2026-09-22T16:11:23.286833+00:00,outer_001_feature_072,chemotherapy_cycle_count,True,outside_top_64,outside_top_64,38,outside_top_64,outside_top_64,0,0,0,1
2026-09-22T16:11:23.286833+00:00,outer_001_feature_073,chemotherapy_regimen,True,outside_top_64,outside_top_64,outside_top_64,outside_top_64,outside_top_64,0,0,0,0
2026-09-22T16:11:23.286833+00:00,outer_001_feature_074,cholecystectomy_history,True,outside_top_64,outside_top_64,outside_top_64,outside_top_64,outside_top_64,0,0,0,0
2026-09-22T16:11:23.286833+00:00,outer_001_feature_075,chronic_kidney_disease_stage,True,outside_top_64,outside_top_64,outside_top_64,outside_top_64,outside_top_64,0,0,0,0
