target,family,scope,mode,kind,radius,loss,gain_over_constant,loss_increase_from_original
treatment,linear,conditional,refit,targeted,0.02,0.6045056389767176,0.08774871018679135,7.1673725258136755e-06
treatment,linear,conditional,refit,targeted,0.05,0.6046934176441487,0.08756093151936023,0.00019494603995695136
treatment,linear,conditional,refit,targeted,0.1,0.605040853995104,0.08721349516840501,0.0005423823909121727
treatment,linear,conditional,refit,targeted,0.2,0.6057405655620827,0.0865137836014263,0.0012420939578908863
treatment,linear,conditional,without_query,without_query,0.0,0.6068970118640384,0.08535733729947052,0.002398540259846653
treatment,linear,solo,frozen,random,0.02,0.6928276683390456,-0.000573319175536688,-7.271924648959427e-07
treatment,linear,solo,frozen,random,0.05,0.6928336697745905,-0.0005793206110814664,5.274243079882446e-06
treatment,linear,solo,frozen,random,0.1,0.6928434536056159,-0.0005891044421069962,1.5058074105412267e-05
treatment,linear,solo,frozen,random,0.2,0.6930690390280425,-0.0008146898645335598,0.00024064349653197593
treatment,linear,solo,frozen,targeted,0.02,0.6927835718340262,-0.0005292226705171643,-4.4823697484419614e-05
treatment,linear,solo,frozen,targeted,0.05,0.6927688806304553,-0.0005145314669462975,-5.951490105528645e-05
treatment,linear,solo,frozen,targeted,0.1,0.6928588954121774,-0.0006045462486684939,3.0499880666909895e-05
treatment,linear,solo,frozen,targeted,0.2,0.6931682658705902,-0.0009139167070812481,0.00033987033907966423
treatment,linear,solo,original,original,0.0,0.6928283955315105,-0.0005740463680015839,0.0
treatment,linear,solo,refit,random,0.02,0.6928292742599557,-0.0005749250964467727,8.7872844518877e-07
treatment,linear,solo,refit,random,0.05,0.6928334793517762,-0.0005791301882672304,5.083820265646466e-06
treatment,linear,solo,refit,random,0.1,0.6928219486660284,-0.0005675995025194478,-6.446865482136133e-06
treatment,linear,solo,refit,random,0.2,0.69278976506415,-0.0005354159006411514,-3.863046736043252e-05
treatment,linear,solo,refit,targeted,0.02,0.692839517427274,-0.0005851682637649835,1.1121895763399613e-05
treatment,linear,solo,refit,targeted,0.05,0.6928523825572391,-0.0005980333937302085,2.3987025728624546e-05
treatment,linear,solo,refit,targeted,0.1,0.6928992208936887,-0.0006448717301797746,7.082536217819069e-05
treatment,linear,solo,refit,targeted,0.2,0.6930958418431239,-0.000841492679614948,0.0002674463116133641
treatment,spline,conditional,frozen,random,0.02,0.5977937461869981,0.09446060297651088,-3.4930011398096814e-05
treatment,spline,conditional,frozen,random,0.05,0.5976212048235917,0.09463314433991724,-0.0002074713748044701
treatment,spline,conditional,frozen,random,0.1,0.5972658231606813,0.09498852600282771,-0.0005628530377149365
treatment,spline,conditional,frozen,random,0.2,0.5973470530062756,0.09490729615723344,-0.0004816231921206535
treatment,spline,conditional,frozen,targeted,0.02,0.5987471322140216,0.09350721694948728,0.0009184560156254973
treatment,spline,conditional,frozen,targeted,0.05,0.6005639800232576,0.09169036914025132,0.002735303824861459
treatment,spline,conditional,frozen,targeted,0.1,0.6035520299146044,0.08870231924890452,0.005723353716208246
treatment,spline,conditional,frozen,targeted,0.2,0.6077437762976086,0.08451057286590041,0.009915100099212362
treatment,spline,conditional,original,original,0.0,0.5978286761983962,0.09442567296511278,0.0
treatment,spline,conditional,refit,random,0.02,0.5978286185965211,0.09442573056698782,-5.760187504755265e-08
treatment,spline,conditional,refit,random,0.05,0.5978125355254781,0.09444181363803084,-1.614067291806798e-05
treatment,spline,conditional,refit,random,0.1,0.5978255868775532,0.09442876228595574,-3.089320842969201e-06
treatment,spline,conditional,refit,random,0.2,0.5978987680911731,0.0943555810723358,7.009189277697292e-05
treatment,spline,conditional,refit,targeted,0.02,0.5979188689921354,0.09433548017137355,9.01927937392255e-05
treatment,spline,conditional,refit,targeted,0.05,0.5980500543410816,0.09420429482242736,0.00022137814268541778
treatment,spline,conditional,refit,targeted,0.1,0.5982292312892006,0.09402511787430835,0.0004005550908044109
treatment,spline,conditional,refit,targeted,0.2,0.5979904671513521,0.09426388201215687,0.00016179095295589807
treatment,spline,conditional,without_query,without_query,0.0,0.5973428054880252,0.0949115436754837,-0.0004858707103709259
treatment,spline,solo,frozen,random,0.02,0.692669611992957,-0.00041526282944791325,-3.2655798530534243e-06
treatment,spline,solo,frozen,random,0.05,0.692666802043297,-0.0004124528797880549,-6.075529512911793e-06
treatment,spline,solo,frozen,random,0.1,0.6926647931115648,-0.00041044394805584084,-8.084461245125851e-06
treatment,spline,solo,frozen,random,0.2,0.6929900757353775,-0.0007357265718685531,0.0003171981625675864
treatment,spline,solo,frozen,targeted,0.02,0.69273602799583,-0.0004816788323210108,6.315042302004414e-05
treatment,spline,solo,frozen,targeted,0.05,0.6929892062353359,-0.0007348570718269665,0.00031632866252599977
treatment,spline,solo,frozen,targeted,0.1,0.6934709062645499,-0.001216557101040907,0.0007980286917399404
treatment,spline,solo,frozen,targeted,0.2,0.6943931321569403,-0.002138782993431305,0.0017202545841303386
treatment,spline,solo,original,original,0.0,0.6926728775728099,-0.0004185284093009667,0.0
treatment,spline,solo,refit,random,0.02,0.692670735753014,-0.0004163865895050325,-2.1418197959341968e-06
treatment,spline,solo,refit,random,0.05,0.6926675012449321,-0.00041315208142317947,-5.37632787778719e-06
treatment,spline,solo,refit,random,0.1,0.6926644565759364,-0.0004101074124275268,-8.420996873439889e-06
treatment,spline,solo,refit,random,0.2,0.6926882124029589,-0.00043386323944980096,1.53348301488343e-05
treatment,spline,solo,refit,targeted,0.02,0.6927244216102185,-0.00047007244670957513,5.1544037408608464e-05
treatment,spline,solo,refit,targeted,0.05,0.6928369040927645,-0.0005825549292555853,0.0001640265199546187
treatment,spline,solo,refit,targeted,0.1,0.6930098241787835,-0.0007554750152745848,0.00033694660597361815
treatment,spline,solo,refit,targeted,0.2,0.6929399113995536,-0.00068556223604463,0.0002670338267436634
