inner_fold,family,mode,query,scope,target,variant,kind,radius,control,distance,validation_n,loss,constant_loss,gain_over_constant,original_loss,loss_increase_from_original,without_query_loss,gain_over_without_query
1,spline,frozen,2,solo,effect,72,random,0.2,0,0.1999998837709427,160,0.1927149957537929,0.19027173946226697,-0.0024432562915259193,0.1913430703863453,0.0013719253674475962,,
1,spline,refit,2,solo,effect,72,random,0.2,0,0.1999998837709427,160,0.19126696746399768,0.19027173946226697,-0.0009952280017307136,0.1913430703863453,-7.610292234760951e-05,,
1,spline,frozen,2,solo,effect,73,random,0.2,1,0.1999998837709427,160,0.1925524899250352,0.19027173946226697,-0.0022807504627682385,0.1913430703863453,0.0012094195386899154,,
1,spline,refit,2,solo,effect,73,random,0.2,1,0.1999998837709427,160,0.191194297609997,0.19027173946226697,-0.0009225581477300404,0.1913430703863453,-0.00014877277634828268,,
1,spline,frozen,2,solo,effect,74,random,0.2,2,0.1999998837709427,160,0.19260321676898443,0.19027173946226697,-0.0023314773067174555,0.1913430703863453,0.0012601463826391324,,
1,spline,refit,2,solo,effect,74,random,0.2,2,0.1999998837709427,160,0.19126649633925552,0.19027173946226697,-0.0009947568769885506,0.1913430703863453,-7.657404708977245e-05,,
1,spline,frozen,2,solo,effect,75,random,0.2,3,0.1999998837709427,160,0.19274374787319154,0.19027173946226697,-0.00247200841092457,0.1913430703863453,0.0014006774868462468,,
1,spline,refit,2,solo,effect,75,random,0.2,3,0.1999998837709427,160,0.19125915548805622,0.19027173946226697,-0.0009874160257892506,0.1913430703863453,-8.39148982890725e-05,,
1,spline,frozen,2,solo,effect,76,random,0.2,4,0.1999998837709427,160,0.19285736762800193,0.19027173946226697,-0.00258562816573496,0.1913430703863453,0.001514297241656637,,
1,spline,refit,2,solo,effect,76,random,0.2,4,0.1999998837709427,160,0.19143012491072656,0.19027173946226697,-0.0011583854484595868,0.1913430703863453,8.705452438126371e-05,,
1,linear,original,2,conditional,treatment,2,original,0.0,-1,0.0,160,0.5644201654236676,0.6919406890100659,0.12752052358639832,0.5644201654236676,0.0,0.5653993926320047,0.0009792272083370968
1,linear,without_query,2,conditional,treatment,-1,without_query,0.0,-1,0.0,160,0.5653993926320047,0.6919406890100659,0.12654129637806122,0.5644201654236676,0.0009792272083370968,0.5653993926320047,0.0
1,linear,frozen,2,conditional,treatment,53,targeted,0.02,-1,0.01999818906188011,160,0.5650038892991924,0.6919406890100659,0.12693679971087346,0.5644201654236676,0.0005837238755248553,0.5653993926320047,0.0003955033328122415
1,linear,refit,2,conditional,treatment,53,targeted,0.02,-1,0.01999818906188011,160,0.564465052066841,0.6919406890100659,0.12747563694322483,0.5644201654236676,4.488664317348068e-05,0.5653993926320047,0.0009343405651636161
1,linear,frozen,2,conditional,treatment,54,random,0.02,0,0.01999818906188011,160,0.5644340388763548,0.6919406890100659,0.1275066501337111,0.5644201654236676,1.3873452687218624e-05,0.5653993926320047,0.0009653537556498781
1,linear,refit,2,conditional,treatment,54,random,0.02,0,0.01999818906188011,160,0.5644414203848056,0.6919406890100659,0.1274992686252603,0.5644201654236676,2.1254961138028605e-05,0.5653993926320047,0.0009579722471990681
1,linear,frozen,2,conditional,treatment,55,random,0.02,1,0.01999818906188011,160,0.5644401746417205,0.6919406890100659,0.12750051436834542,0.5644201654236676,2.000921805289657e-05,0.5653993926320047,0.0009592179902842002
1,linear,refit,2,conditional,treatment,55,random,0.02,1,0.01999818906188011,160,0.5644237546328352,0.6919406890100659,0.12751693437723066,0.5644201654236676,3.5892091676537063e-06,0.5653993926320047,0.000975637999169443
1,linear,frozen,2,conditional,treatment,56,random,0.02,2,0.01999818906188011,160,0.5644191021540932,0.6919406890100659,0.1275215868559727,0.5644201654236676,-1.063269574386183e-06,0.5653993926320047,0.000980290477911483
1,linear,refit,2,conditional,treatment,56,random,0.02,2,0.01999818906188011,160,0.5644082561505821,0.6919406890100659,0.1275324328594838,0.5644201654236676,-1.1909273085475292e-05,0.5653993926320047,0.000991136481422572
1,linear,frozen,2,conditional,treatment,57,random,0.02,3,0.01999818906188011,160,0.5644178904959867,0.6919406890100659,0.12752279851407922,0.5644201654236676,-2.2749276809008734e-06,0.5653993926320047,0.0009815021360179976
1,linear,refit,2,conditional,treatment,57,random,0.02,3,0.01999818906188011,160,0.5644251795139139,0.6919406890100659,0.12751550949615198,0.5644201654236676,5.014090246335812e-06,0.5653993926320047,0.0009742131180907609
1,linear,frozen,2,conditional,treatment,58,random,0.02,4,0.01999818906188011,160,0.5644181838018455,0.6919406890100659,0.1275225052082204,0.5644201654236676,-1.9816218220780613e-06,0.5653993926320047,0.0009812088301591748
1,linear,refit,2,conditional,treatment,58,random,0.02,4,0.01999818906188011,160,0.5644162937221938,0.6919406890100659,0.12752439528787207,0.5644201654236676,-3.871701473756595e-06,0.5653993926320047,0.0009830989098108533
1,linear,frozen,2,conditional,treatment,59,targeted,0.05,-1,0.05000070855021477,160,0.5658160883610948,0.6919406890100659,0.12612460064897113,0.5644201654236676,0.0013959229374271853,0.5653993926320047,-0.00041669572909008856
1,linear,refit,2,conditional,treatment,59,targeted,0.05,-1,0.05000070855021477,160,0.5645260086320687,0.6919406890100659,0.1274146803779972,0.5644201654236676,0.00010584320840112404,0.5653993926320047,0.0008733839999359727
1,linear,frozen,2,conditional,treatment,60,random,0.05,0,0.05000070855021477,160,0.5644405585305051,0.6919406890100659,0.12750013047956077,0.5644201654236676,2.039310683754625e-05,0.5653993926320047,0.0009588341014995505
1,linear,refit,2,conditional,treatment,60,random,0.05,0,0.05000070855021477,160,0.5644197189726888,0.6919406890100659,0.12752097003737706,0.5644201654236676,-4.464509787416304e-07,0.5653993926320047,0.0009796736593158384
1,linear,frozen,2,conditional,treatment,61,random,0.05,1,0.05000070855021477,160,0.564294037574426,0.6919406890100659,0.1276466514356399,0.5644201654236676,-0.00012612784924159737,0.5653993926320047,0.0011053550575786941
1,linear,refit,2,conditional,treatment,61,random,0.05,1,0.05000070855021477,160,0.5643772315127709,0.6919406890100659,0.12756345749729503,0.5644201654236676,-4.293391089671417e-05,0.5653993926320047,0.001022161119233811
1,linear,frozen,2,conditional,treatment,62,random,0.05,2,0.05000070855021477,160,0.5645120316957664,0.6919406890100659,0.12742865731429953,0.5644201654236676,9.186627209878395e-05,0.5653993926320047,0.0008873609362383128
1,linear,refit,2,conditional,treatment,62,random,0.05,2,0.05000070855021477,160,0.5644423995259255,0.6919406890100659,0.12749828948414044,0.5644201654236676,2.2234102257878696e-05,0.5653993926320047,0.0009569931060792181
1,linear,frozen,2,conditional,treatment,63,random,0.05,3,0.05000070855021477,160,0.5644110821029686,0.6919406890100659,0.12752960690709725,0.5644201654236676,-9.083320698932695e-06,0.5653993926320047,0.0009883105290360295
1,linear,refit,2,conditional,treatment,63,random,0.05,3,0.05000070855021477,160,0.5644285945736289,0.6919406890100659,0.12751209443643696,0.5644201654236676,8.429149961353133e-06,0.5653993926320047,0.0009707980583757436
1,linear,frozen,2,conditional,treatment,64,random,0.05,4,0.05000070855021477,160,0.5644272428466948,0.6919406890100659,0.12751344616337112,0.5644201654236676,7.077423027190832e-06,0.5653993926320047,0.0009721497853099059
1,linear,refit,2,conditional,treatment,64,random,0.05,4,0.05000070855021477,160,0.5644228517634998,0.6919406890100659,0.12751783724656607,0.5644201654236676,2.6863398322474197e-06,0.5653993926320047,0.0009765408685048493
1,linear,frozen,2,conditional,treatment,65,targeted,0.1,-1,0.10000009089708328,160,0.5670601051338415,0.6919406890100659,0.12488058387622436,0.5644201654236676,0.0026399397101739552,0.5653993926320047,-0.0016607125018368585
1,linear,refit,2,conditional,treatment,65,targeted,0.1,-1,0.10000009089708328,160,0.564635157564004,0.6919406890100659,0.12730553144606194,0.5644201654236676,0.0002149921403363786,0.5653993926320047,0.0007642350680007182
1,linear,frozen,2,conditional,treatment,66,random,0.1,0,0.10000009089708328,160,0.5646185450149516,0.6919406890100659,0.12732214399511432,0.5644201654236676,0.00019837959128399252,0.5653993926320047,0.0007808476170531042
1,linear,refit,2,conditional,treatment,66,random,0.1,0,0.10000009089708328,160,0.5643850710191072,0.6919406890100659,0.12755561799095871,0.5644201654236676,-3.509440456039847e-05,0.5653993926320047,0.0010143216128974952
1,linear,frozen,2,conditional,treatment,67,random,0.1,1,0.10000009089708328,160,0.564353166496115,0.6919406890100659,0.1275875225139509,0.5644201654236676,-6.699892755257508e-05,0.5653993926320047,0.0010462261358896718
1,linear,refit,2,conditional,treatment,67,random,0.1,1,0.10000009089708328,160,0.5643233183223599,0.6919406890100659,0.12761737068770596,0.5644201654236676,-9.684710130763996e-05,0.5653993926320047,0.0010760743096447367
1,linear,frozen,2,conditional,treatment,68,random,0.1,2,0.10000009089708328,160,0.5646490082986785,0.6919406890100659,0.1272916807113874,0.5644201654236676,0.00022884287501090395,0.5653993926320047,0.0007503843333261928
1,linear,refit,2,conditional,treatment,68,random,0.1,2,0.10000009089708328,160,0.5645177591319801,0.6919406890100659,0.1274229298780858,0.5644201654236676,9.759370831252667e-05,0.5653993926320047,0.0008816335000245701
1,linear,frozen,2,conditional,treatment,69,random,0.1,3,0.10000009089708328,160,0.5644648319684524,0.6919406890100659,0.12747585704161346,0.5644201654236676,4.466654478485488e-05,0.5653993926320047,0.0009345606635522419
1,linear,refit,2,conditional,treatment,69,random,0.1,3,0.10000009089708328,160,0.564361503595738,0.6919406890100659,0.1275791854143279,0.5644201654236676,-5.866182792957364e-05,0.5653993926320047,0.0010378890362666704
1,linear,frozen,2,conditional,treatment,70,random,0.1,4,0.10000009089708328,160,0.5646595820561698,0.6919406890100659,0.12728110695389605,0.5644201654236676,0.00023941663250226508,0.5653993926320047,0.0007398105758348317
1,linear,refit,2,conditional,treatment,70,random,0.1,4,0.10000009089708328,160,0.5645321657136652,0.6919406890100659,0.12740852329640073,0.5644201654236676,0.00011200028999758249,0.5653993926320047,0.0008672269183395143
1,linear,frozen,2,conditional,treatment,71,targeted,0.2,-1,0.1999998837709427,160,0.5698841527564389,0.6919406890100659,0.122056536253627,0.5644201654236676,0.005463987332771314,0.5653993926320047,-0.004484760124434217
1,linear,refit,2,conditional,treatment,71,targeted,0.2,-1,0.1999998837709427,160,0.5649973735602278,0.6919406890100659,0.12694331544983806,0.5644201654236676,0.0005772081365602588,0.5653993926320047,0.00040201907177683793
1,linear,frozen,2,conditional,treatment,72,random,0.2,0,0.1999998837709427,160,0.5654767133449925,0.6919406890100659,0.1264639756650734,0.5644201654236676,0.001056547921324924,0.5653993926320047,-7.732071298782728e-05
