inner_fold,sample,target,variant,control,distance,kind,query,radius,training_sd_ratio,n,moment,row_score_sd,standardized_score,abs_studentized_score,fixed_scale_score,abs_fixed_scale_score,activation_sd,activation_correlation_with_original,restart,training_criterion,seed
1,train,effect,53,-1,0.01999818906188011,targeted,2,0.02,0.9605056643486023,640,-0.0006747748618429989,0.004087693875375907,-4.176096422686432,4.176096422686432,-4.002649607106932,4.002649607106932,0.01976267620921135,0.9992036475773841,0.0,0.027032766491174698,
1,train,effect,54,0,0.01999818906188011,random,2,0.02,1.0002827644348145,640,-0.0007208227626740208,0.004266325815222156,-4.274294684596122,4.274294684596122,-4.275797915664214,4.275797915664214,0.02058110013604164,0.9999896070361975,,,20362942.0
1,train,effect,55,1,0.01999818906188011,random,2,0.02,0.9992443323135376,640,-0.0007205479559355523,0.004262328582970013,-4.276672076834143,4.276672076834143,-4.2741678088745845,4.2741678088745845,0.020559735596179962,0.9999911552350743,,,20362943.0
1,train,effect,56,2,0.01999818906188011,random,2,0.02,0.9999710321426392,640,-0.0007201567362944975,0.004263303083093831,-4.273373043609602,4.273373043609602,-4.27184716056489,4.27184716056489,0.02057468704879284,0.9999896559408153,,,20362944.0
1,train,effect,57,3,0.01999818906188011,random,2,0.02,1.0010234117507935,640,-0.0007218454742198418,0.004268735994658339,-4.277942360596617,4.277942360596617,-4.281864466448105,4.281864466448105,0.02059634029865265,0.9999946896420436,,,20362945.0
1,train,effect,58,4,0.01999818906188011,random,2,0.02,0.9994847178459167,640,-0.0007196543620489781,0.004262714069559712,-4.27098205512108,4.27098205512108,-4.268867162064416,4.268867162064416,0.02056468091905117,0.9999928539841283,,,20362946.0
1,train,effect,59,-1,0.05000070855021477,targeted,2,0.05,0.9083112478256226,640,-0.0006114644664970245,0.0038522521527992503,-4.015563562702398,4.015563562702398,-3.6271031198456587,3.6271031198456587,0.018688760697841644,0.9949636607963325,0.0,0.022556111216545105,
1,train,effect,60,0,0.05000070855021477,random,2,0.05,0.9983304142951965,640,-0.0007192181287860146,0.004264347875746273,-4.266757755639432,4.266757755639432,-4.266279500612656,4.266279500612656,0.020540930330753326,0.9999261104323081,,,20362972.0
1,train,effect,61,1,0.05000070855021477,random,2,0.05,1.0042202472686768,640,-0.0007225220132546898,0.0042820559705257916,-4.268632147215276,4.268632147215276,-4.285877580829147,4.285877580829147,0.02066211588680744,0.999944069650478,,,20362973.0
1,train,effect,62,2,0.05000070855021477,random,2,0.05,0.998752772808075,640,-0.0007191534812479394,0.004258125516896303,-4.2726086470842946,4.2726086470842946,-4.2658960224223605,4.2658960224223605,0.020549621433019638,0.9999526723009168,,,20362974.0
1,train,effect,63,3,0.05000070855021477,random,2,0.05,1.000658392906189,640,-0.0007212924928500756,0.004265038069961895,-4.278371445546948,4.278371445546948,-4.278584275101933,4.278584275101933,0.02058883011341095,0.9999481165662434,,,20362975.0
1,train,effect,64,4,0.05000070855021477,random,2,0.05,1.0007045269012451,640,-0.000720827230748434,0.004270073451082191,-4.270569815250581,4.270569815250581,-4.27582441952099,4.27582441952099,0.020589778199791908,0.9999585475709932,,,20362976.0
1,train,effect,65,-1,0.10000009089708328,targeted,2,0.1,0.834941565990448,640,-0.0005137249469599848,0.0035184002732790765,-3.6938171829521993,3.6938171829521993,-3.0473289290804177,3.0473289290804177,0.017179159447550774,0.9789088744316258,2.0,0.016509713605046272,
1,train,effect,66,0,0.10000009089708328,random,2,0.1,0.9868219494819641,640,-0.0007095669949142918,0.0042035998025640574,-4.270335829860116,4.270335829860116,-4.2090306174899546,4.2090306174899546,0.02030414156615734,0.999731566428316,,,20363022.0
1,train,effect,67,1,0.10000009089708328,random,2,0.1,0.9959204196929932,640,-0.0007222956228669578,0.004250465315057701,-4.299010377311744,4.299010377311744,-4.28453467158971,4.28453467158971,0.02049134485423565,0.9997354244688716,,,20363023.0
1,train,effect,68,2,0.10000009089708328,random,2,0.1,0.993018627166748,640,-0.0007163239616008393,0.004229532456897219,-4.284568631257945,4.284568631257945,-4.249111793571817,4.249111793571817,0.0204316396266222,0.9996575299945956,,,20363024.0
1,train,effect,69,3,0.10000009089708328,random,2,0.1,0.9897037744522095,640,-0.0007119879347671941,0.0042273216908168655,-4.260860573378603,4.260860573378603,-4.223391220557742,4.223391220557742,0.02036343514919281,0.9998057204056803,,,20363025.0
1,train,effect,70,4,0.10000009089708328,random,2,0.1,0.9963986277580261,640,-0.0007161963927576033,0.004243532123723811,-4.269673068713552,4.269673068713552,-4.2483550769109995,4.2483550769109995,0.020501183345913887,0.9997715069692873,,,20363026.0
1,train,effect,71,-1,0.1999998837709427,targeted,2,0.2,0.7203097939491272,640,-0.00031067917648403963,0.0030063646999231464,-2.6143303752870777,2.6143303752870777,-1.8428959850307567,1.8428959850307567,0.014820578508079052,0.8843541540987244,1.0,0.007306662388145924,
1,train,effect,72,0,0.1999998837709427,random,2,0.2,0.9766592979431152,640,-0.0006968640762549485,0.004171331236004884,-4.226329822947328,4.226329822947328,-4.133679066541451,4.133679066541451,0.020095041021704674,0.999174893986581,,,20363122.0
1,train,effect,73,1,0.1999998837709427,random,2,0.2,0.9819836020469666,640,-0.0006949858650342451,0.004174486105268798,-4.2117534368730665,4.2117534368730665,-4.122537837326008,4.122537837326008,0.020204590633511543,0.9988093554949863,,,20363123.0
1,train,effect,74,2,0.1999998837709427,random,2,0.2,0.983353853225708,640,-0.0006900839611805427,0.00419546139541895,-4.161138694236646,4.161138694236646,-4.093460578163583,4.093460578163583,0.020232783630490303,0.9984412728138786,,,20363124.0
1,train,effect,75,3,0.1999998837709427,random,2,0.2,0.9696075916290283,640,-0.0006918481469472199,0.004119234937396367,-4.248975302589427,4.248975302589427,-4.103925427797381,4.103925427797381,0.01994995027780533,0.9991120005656782,,,20363125.0
1,train,effect,76,4,0.1999998837709427,random,2,0.2,0.9693755507469177,640,-0.0006963226184083638,0.004142898366688542,-4.252028923843038,4.252028923843038,-4.130467230773032,4.130467230773032,0.01994517631828785,0.9992021397182164,,,20363126.0
1,train,effect,77,-1,0.00908417347818613,targeted,3,0.02,0.9844447374343872,640,-0.0010030280386162267,0.007198991804305844,-3.524774852102439,3.524774852102439,-3.4721653115552122,3.4721653115552122,0.03283524513244629,0.9999734527881383,0.0,0.01925000734627247,
1,train,effect,78,0,0.00908417347818613,random,3,0.02,0.9997190833091736,640,-0.0010201883715128992,0.0073072090121177,-3.531984801364087,3.531984801364087,-3.531568947669679,3.531568947669679,0.033344708383083344,0.999999390932096,,,20363942.0
1,train,effect,79,1,0.00908417347818613,random,3,0.02,0.9996087551116943,640,-0.0010199989905762693,0.007305582891748284,-3.532115171740106,3.532115171740106,-3.5309133708627303,3.5309133708627303,0.03334102779626846,0.9999996105910889,,,20363943.0
1,train,effect,80,2,0.00908417347818613,random,3,0.02,1.0001475811004639,640,-0.0010206034590603485,0.007309164198938466,-3.532476688862285,3.532476688862285,-3.533005849259689,3.533005849259689,0.03335899859666824,0.9999995481171704,,,20363944.0
1,train,effect,81,3,0.00908417347818613,random,3,0.02,1.000217080116272,640,-0.0010203980200927238,0.007309523424339654,-3.531592062677629,3.531592062677629,-3.5322946846366015,3.5322946846366015,0.033361319452524185,0.9999995706375068,,,20363945.0
