sample,target,kind,radius,mean_abs_fixed_scale_score,mean_distance,mean_abs_studentized_score,mean_training_sd_ratio,mean_activation_correlation
train,treatment,targeted,0.1,0.7196173347627837,0.08917991444468498,0.835230666820234,0.8788422465324401,0.9819735933051842
train,treatment,targeted,0.2,0.6780345633009048,0.18387262970209123,0.8807862845405455,0.8008914232254029,0.9136858547589299
validation,effect,original,0.0,0.9462618547475817,0.0,0.7171991819621204,1.0,1.0
validation,effect,random,0.02,0.9462048260266089,0.012478322917632739,0.7174574487588127,0.9998081169128418,0.9999971347604298
validation,effect,random,0.05,0.9453184971244721,0.04179634490981698,0.7172242148995548,0.9994358401298523,0.9999772631549513
validation,effect,random,0.1,0.9423291451076632,0.08917991444468498,0.7178924256774037,0.9956313695907593,0.9998985540514713
validation,effect,random,0.2,0.9318973846619891,0.18387262970209123,0.7191676485529492,0.9797028007507325,0.9994987576199981
validation,effect,targeted,0.02,0.9453804037768565,0.012478322917632739,0.7250292463657747,0.9788257145881653,0.999592246577674
validation,effect,targeted,0.05,0.9309625526548727,0.04179634490981698,0.7356009387012523,0.9331634783744812,0.9963436333226838
validation,effect,targeted,0.1,0.9197106992047074,0.08917991444468498,0.7554522855171178,0.8788422465324401,0.9841415950254543
validation,effect,targeted,0.2,0.9047733010491159,0.18387262970209123,0.7891584304931594,0.8008914232254029,0.9214569941283544
validation,outcome,original,0.0,1.0298046715258609,0.0,1.0596363584343202,1.0,1.0
validation,outcome,random,0.02,1.0291404802769084,0.012478322917632739,1.0592667479896283,0.9998081169128418,0.9999971347604298
validation,outcome,random,0.05,1.0304515481756107,0.04179634490981698,1.0607006054458836,0.9994358401298523,0.9999772631549513
validation,outcome,random,0.1,1.024988099128281,0.08917991444468498,1.0590172604537778,0.9956313695907593,0.9998985540514713
validation,outcome,random,0.2,1.011738041305729,0.18387262970209123,1.0618985545043882,0.9797028007507325,0.9994987576199981
validation,outcome,targeted,0.02,1.0205559903785602,0.012478322917632739,1.0694694422496274,0.9788257145881653,0.999592246577674
validation,outcome,targeted,0.05,0.9987131311515077,0.04179634490981698,1.0918169594213247,0.9331634783744812,0.9963436333226838
validation,outcome,targeted,0.1,0.9827966513289573,0.08917991444468498,1.1325934913984157,0.8788422465324401,0.9841415950254543
validation,outcome,targeted,0.2,0.9575880297542275,0.18387262970209123,1.1935689695538783,0.8008914232254029,0.9214569941283544
validation,treatment,original,0.0,0.7479646157918259,0.0,0.7170104009396451,1.0,1.0
validation,treatment,random,0.02,0.7478621083184999,0.012478322917632739,0.7171218889460597,0.9998081169128418,0.9999971347604298
validation,treatment,random,0.05,0.7474320730083871,0.04179634490981698,0.7169877197175654,0.9994358401298523,0.9999772631549513
validation,treatment,random,0.1,0.7477881444614952,0.08917991444468498,0.7197941351378317,0.9956313695907593,0.9998985540514713
validation,treatment,random,0.2,0.7331501017208082,0.18387262970209123,0.7178600837725896,0.9797028007507325,0.9994987576199981
validation,treatment,targeted,0.02,0.7350968402980329,0.012478322917632739,0.7173525605107556,0.9788257145881653,0.999592246577674
validation,treatment,targeted,0.05,0.7151424411265767,0.04179634490981698,0.7270623175413293,0.9331634783744812,0.9963436333226838
validation,treatment,targeted,0.1,0.689015988009248,0.08917991444468498,0.7444391383663463,0.8788422465324401,0.9841415950254543
validation,treatment,targeted,0.2,0.6338172706228672,0.18387262970209123,0.7562056784646368,0.8008914232254029,0.9214569941283544
